source,case,hunk_idx,category,n_removed,n_added,rem_chars,add_chars,word_jaccard,whitespace_only,indent_only,hunk_header
gitanim_history,ba4a8c7b/ad_suggest.sh,1,word_replace,1,1,87,61,0.778,0,0,"@@ -41,7 +82,7 @@ dv_suggest_option() {"
gitanim_history,ba4a8c7b/ad_suggest.sh,2,block_replace,7,8,397,581,0.437,0,0,"@@ -50,13 +91,14 @@ DV_ALL_OPTIONS=("
gitanim_history,4a12075c/ad.c,0,block_delete,2,0,142,0,0.0,0,0,"@@ -75,8 +75,6 @@ static int show_line_numbers = 0;"
gitanim_history,4a12075c/ad.c,1,word_replace,1,1,46,27,0.75,0,0,"@@ -418,7 +416,7 @@ void batch_insert(int *codes, int count) {"
gitanim_history,4a12075c/ad.c,2,line_delete,1,0,89,0,0.0,0,0,"@@ -575,7 +573,6 @@ int main(int argc, char **argv) {"
gitanim_history,4a12075c/ad.c,3,block_delete,2,0,203,0,0.0,0,0,"@@ -592,8 +589,6 @@ int main(int argc, char **argv) {"
gitanim_history,4a12075c/ad.c,4,block_delete,9,0,375,0,0.0,0,0,"@@ -630,17 +625,8 @@ int main(int argc, char **argv) {"
gitanim_history,4a12075c/API_REFERENCE.md,0,word_replace,1,1,41,20,0.6,0,0,"@@ -208,7 +208,7 @@ void render(void);"
gitanim_history,4a12075c/CODE_ANALYSIS.md,0,block_modify,5,8,316,448,0.5,0,0,"@@ -126,11 +126,14 @@ The function walks ops and pushes them one-by-one — output is identical to inp"
gitanim_history,4a12075c/COMPLETE_OPTIONS_REFERENCE.md,0,block_delete,6,0,110,0,0.0,0,0,"@@ -34,12 +34,6 @@ ad_vim --speed 2 old.py new.py"
gitanim_history,4a12075c/IMPROVEMENT_PROPOSALS.md,0,block_replace,4,6,204,354,0.438,0,0,"@@ -34,13 +34,15 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,4a12075c/IMPROVEMENT_PROPOSALS.md,1,block_replace,2,3,112,173,0.448,0,0,"@@ -888,8 +890,9 @@ for debug info."
gitanim_history,4a12075c/IMPROVEMENT_PROPOSALS.md,2,line_expand,1,2,30,125,0.0,0,0,"@@ -913,7 +916,8 @@ earlier."
gitanim_history,4a12075c/OPTIONS_ANALYSIS.md,0,literal_replace,1,1,53,40,0.8,0,0,"@@ -105,7 +105,7 @@ canceling pairs are already handled."
gitanim_history,4a12075c/OPTION_AUDIT_2026-09-10.md,0,block_insert,0,167,0,6674,0.0,0,0,"@@ -0,0 +1,167 @@"
gitanim_history,4a12075c/REQUIREMENTS.md,0,block_replace,2,3,87,175,0.379,0,0,"@@ -198,8 +198,9 @@ Reads timed V2 TSV from stdin, applies ops to a buffer, renders to terminal."
gitanim_history,4a12075c/LAYER_ANALYSIS_AND_DOC_REVIEW.md,0,line_replace,1,1,71,87,0.083,0,0,"@@ -294,7 +294,7 @@ All user-facing env vars were removed. ~8 internal bridge/debug vars remain:"
gitanim_history,4a12075c/debugging.md,0,block_replace,4,6,232,379,0.312,0,0,"@@ -94,10 +94,12 @@ Takes a snapshot after EACH op and checks:"
gitanim_history,4a12075c/ad_layer_line_delete_in_place.sh,0,block_replace,8,20,451,1210,0.237,0,0,"@@ -1,17 +1,29 @@"
gitanim_history,4a12075c/ad_layer_line_delete_in_place.sh,1,block_replace,4,13,304,465,0.327,0,0,"@@ -21,10 +33,19 @@ while [[ $# -gt 0 ]]; do"
gitanim_history,4a12075c/ad_layer_line_delete_in_place.sh,2,block_move,79,106,2474,5345,0.237,0,0,"@@ -36,90 +57,117 @@ if [[ ""$MODE"" == ""interleaved"" ]]; then"
gitanim_history,4a12075c/README.md,0,block_insert,0,3,0,203,0.0,0,0,"@@ -35,6 +35,9 @@ Manpages for all ad tools."
gitanim_history,4a12075c/README.md,0,word_replace,1,1,147,156,0.577,0,0,"@@ -17,7 +17,7 @@ Helper scripts for the ad project."
gitanim_history,4a12075c/README.md,1,line_replace,1,1,118,151,0.16,0,0,"@@ -33,7 +33,7 @@ Helper scripts for the ad project."
gitanim_history,4a12075c/worklog.md,0,block_insert,0,50,0,2508,0.0,0,0,"@@ -0,0 +1,50 @@"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,0,block_replace,2,2,110,123,0.286,0,0,"@@ -1,8 +1,8 @@"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,1,word_replace,1,1,48,57,0.5,0,0,"@@ -21,7 +21,7 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,2,block_insert,0,12,0,616,0.0,0,0,"@@ -30,6 +30,18 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,3,word_replace,1,1,38,50,0.7,0,0,"@@ -38,7 +50,7 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,4,format_only,2,2,120,120,1.0,1,0,"@@ -53,8 +65,8 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,5,block_insert,0,10,0,519,0.0,0,0,"@@ -73,6 +85,16 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,6,block_modify,32,31,1572,1623,0.535,0,0,"@@ -88,59 +110,58 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,7,block_replace,62,78,3088,3745,0.472,0,0,"@@ -148,93 +169,109 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,8,block_move,42,86,1886,4215,0.278,0,0,"@@ -242,61 +279,105 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,9,block_replace,15,20,672,1061,0.385,0,0,"@@ -309,41 +390,46 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,10,block_move,123,216,6327,9788,0.396,0,0,"@@ -358,164 +444,257 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,11,block_replace,14,23,694,854,0.396,0,0,"@@ -525,23 +704,32 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,12,block_replace,12,20,585,770,0.366,0,0,"@@ -550,21 +738,29 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,13,block_replace,8,14,394,576,0.361,0,0,"@@ -575,19 +771,25 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,14,block_insert,0,8,0,351,0.0,0,0,"@@ -602,6 +804,14 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,cd30aef1/IMPROVEMENT_PROPOSALS.md,15,block_move,46,133,1992,3802,0.193,0,0,"@@ -625,112 +835,199 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,f8741bee/ad_layer_line_delete_in_place.sh,0,block_insert,0,125,0,3799,0.0,0,0,"@@ -0,0 +1,125 @@"
gitanim_history,522b3044/IMPROVEMENT_PROPOSALS.md,0,block_replace,2,18,59,795,0.038,0,0,"@@ -7,8 +7,24 @@ and framed from the user's perspective."
gitanim_history,522b3044/README.md,0,block_replace,8,5,494,285,0.448,0,0,"@@ -1,28 +1,25 @@"
gitanim_history,522b3044/README.md,1,block_replace,16,42,565,1888,0.102,0,0,"@@ -31,25 +28,51 @@ Design documents, analysis, and historical proposals for the ad project."
gitanim_history,522b3044/CONTROLS.md,0,block_insert,0,284,0,9670,0.0,0,0,"@@ -0,0 +1,284 @@"
gitanim_history,522b3044/DEBUGGING.md,0,block_insert,0,390,0,12092,0.0,0,0,"@@ -0,0 +1,390 @@"
gitanim_history,522b3044/DEBUGGING_LAYERS.md,0,block_insert,0,166,0,4479,0.0,0,0,"@@ -0,0 +1,166 @@"
gitanim_history,522b3044/DESIGN_DOC_ANALYSIS.md,0,block_insert,0,395,0,27006,0.0,0,0,"@@ -0,0 +1,395 @@"
